design,variant,draws,eighs_med,eighs_q90,eighs_max,hv_med,time_med,fails
z_sd2.0_n50,A,1000,17.0,19.0,23,64.0,0.004373,0
z_sd4.0_n50,A,1000,23.0,26.0,51,87.0,0.005904,0
z_sd2.0_n50,B,1000,15.0,16.0,21,71.0,0.004015,0
z_sd4.0_n50,B,1000,21.0,24.0,48,88.0,0.005407,0
z_sd2.0_n50,C,1000,15.0,17.0,20,61.0,0.003970,0
z_sd4.0_n50,C,1000,21.0,24.0,36,86.0,0.005347,0
z_sd2.0_n50,D,1000,13.0,14.0,17,63.0,0.003544,0
z_sd4.0_n50,D,1000,18.0,22.0,33,84.0,0.004901,0
z_sd2.0_n50,AN,1000,16.0,18.0,21,57.0,0.004165,0
z_sd4.0_n50,AN,1000,22.0,26.0,36,78.0,0.005578,0
z_sd2.0_n50,BN,1000,14.0,15.0,18,58.0,0.003732,0
z_sd4.0_n50,BN,1000,20.0,24.0,33,88.0,0.005201,0
z_sd2.0_n50,CN,1000,15.0,17.0,19,59.0,0.003908,0
z_sd4.0_n50,CN,1000,21.0,25.0,35,80.0,0.005394,0
z_sd2.0_n50,DN,1000,13.0,14.1,17,66.0,0.003608,0
z_sd4.0_n50,DN,1000,19.0,23.0,33,79.0,0.004926,0
z_sd2.0_n50,AN0,1000,19.0,24.0,41,62.0,0.004869,0
z_sd4.0_n50,AN0,1000,30.0,42.0,63,90.0,0.007371,0
z_sd2.0_n50,BN0,1000,17.0,22.0,38,69.0,0.004519,0
z_sd4.0_n50,BN0,1000,28.0,39.0,60,95.0,0.006901,0
z_sd2.0_n50,CN0,1000,13.0,14.0,20,63.0,0.003582,0
z_sd4.0_n50,CN0,1000,17.0,22.0,31,92.0,0.004939,0
z_sd2.0_n50,DN0,1000,10.0,12.0,18,68.0,0.003176,0
z_sd4.0_n50,DN0,1000,15.0,19.0,28,95.0,0.004559,0
z_sd2.0_n50,CN0t,1000,13.0,14.0,19,63.0,0.003588,0
z_sd4.0_n50,CN0t,1000,16.0,19.0,29,92.0,0.004706,0
z_sd2.0_n50,DN0t,1000,10.0,12.0,16,68.0,0.003196,0
z_sd4.0_n50,DN0t,1000,14.0,17.0,26,93.0,0.004251,0
toeplitz_rho0.5_n100,A,1,7.0,7.0,7,12.0,0.006810,0
toeplitz_rho0.9_n100,A,1,8.0,8.0,8,19.0,0.008801,0
toeplitz_rho0.99_n100,A,1,9.0,9.0,9,25.0,0.009578,0
toeplitz_rho0.99_n300,A,1,9.0,9.0,9,26.0,0.127274,0
wishart_n100,A,1000,7.0,7.0,8,12.0,0.006919,0
factor_n100,A,1000,10.0,11.0,13,27.0,0.014080,0
toeplitz_rho0.5_n100,B,1,6.0,6.0,6,16.0,0.006359,0
toeplitz_rho0.9_n100,B,1,6.0,6.0,6,23.0,0.006912,0
toeplitz_rho0.99_n100,B,1,7.0,7.0,7,38.0,0.009157,0
toeplitz_rho0.99_n300,B,1,7.0,7.0,7,44.0,0.150777,0
wishart_n100,B,1000,6.0,6.0,7,13.0,0.006216,0
factor_n100,B,1000,9.0,9.0,11,38.0,0.013496,0
toeplitz_rho0.5_n100,C,1,6.0,6.0,6,11.0,0.005883,0
toeplitz_rho0.9_n100,C,1,8.0,8.0,8,25.0,0.008699,0
toeplitz_rho0.99_n100,C,1,9.0,9.0,9,30.0,0.010012,0
toeplitz_rho0.99_n300,C,1,9.0,9.0,9,37.0,0.151270,0
wishart_n100,C,1000,6.0,6.0,6,11.0,0.006007,0
factor_n100,C,1000,10.0,10.0,12,33.0,0.014103,0
toeplitz_rho0.5_n100,D,1,5.0,5.0,5,15.0,0.005435,0
toeplitz_rho0.9_n100,D,1,6.0,6.0,6,22.0,0.006852,0
toeplitz_rho0.99_n100,D,1,7.0,7.0,7,35.0,0.008884,0
toeplitz_rho0.99_n300,D,1,6.0,6.0,6,26.0,0.103716,0
wishart_n100,D,1000,5.0,5.0,5,10.0,0.005068,0
factor_n100,D,1000,8.0,9.0,10,24.0,0.011064,0
toeplitz_rho0.5_n100,DN,1,5.0,5.0,5,15.0,0.005444,0
toeplitz_rho0.9_n100,DN,1,6.0,6.0,6,30.0,0.007655,0
toeplitz_rho0.99_n100,DN,1,6.0,6.0,6,29.0,0.007586,0
toeplitz_rho0.99_n300,DN,1,6.0,6.0,6,28.0,0.108521,0
wishart_n100,DN,1000,5.0,5.0,7,15.0,0.005538,0
factor_n100,DN,1000,8.0,8.0,10,34.0,0.011857,0
toeplitz_rho0.5_n100,DN0,1,5.0,5.0,5,15.0,0.005465,0
toeplitz_rho0.9_n100,DN0,1,6.0,6.0,6,30.0,0.007672,0
toeplitz_rho0.99_n100,DN0,1,6.0,6.0,6,29.0,0.007584,0
toeplitz_rho0.99_n300,DN0,1,6.0,6.0,6,28.0,0.108666,0
wishart_n100,DN0,1000,5.0,5.0,7,15.0,0.005542,0
factor_n100,DN0,1000,7.0,7.0,9,34.0,0.011004,0
toeplitz_rho0.5_n100,DN0t,1,5.0,5.0,5,15.0,0.005464,0
toeplitz_rho0.9_n100,DN0t,1,6.0,6.0,6,30.0,0.007665,0
toeplitz_rho0.99_n100,DN0t,1,6.0,6.0,6,29.0,0.007602,0
toeplitz_rho0.99_n300,DN0t,1,6.0,6.0,6,28.0,0.108728,0
wishart_n100,DN0t,1000,5.0,5.0,7,15.0,0.005553,0
factor_n100,DN0t,1000,7.0,7.0,9,34.0,0.011031,0
factor_n800,A,50,11.0,14.1,22,35.0,2.719025,0
factor_n800,B,50,9.0,13.1,22,38.0,2.610009,0
factor_n800,D,50,9.0,12.1,38,39.0,2.644629,0
factor_n800,DN0,50,8.0,12.0,23,35.0,2.351036,0
factor_n800,DN0t,50,8.0,12.0,23,35.0,2.357005,0
