design,method,draws,eighs_med,eighs_q90,eighs_max,time_med,fails
z_sd2.0_n50,anderson5,1000,93.0,109.0,133,0.017888,0
z_sd2.0_n50,anderson5g,1000,93.0,109.0,133,0.017822,0
z_sd2.0_n50,anderson10,1000,72.0,80.0,104,0.014494,0
z_sd2.0_n50,anderson10g,1000,72.0,80.0,97,0.014549,0
z_sd2.0_n50,anderson20,1000,63.0,68.0,79,0.014390,0
z_sd2.0_n50,anderson20g,1000,63.0,67.0,76,0.014210,0
z_sd2.0_n50,anderson50,1000,60.0,62.1,109,0.017464,0
z_sd2.0_n50,anderson50g,1000,60.0,62.0,109,0.016916,0
z_sd4.0_n50,anderson5,1000,156.5,189.0,241,0.030201,0
z_sd4.0_n50,anderson5g,1000,158.0,191.0,243,0.030398,0
z_sd4.0_n50,anderson10,1000,112.0,130.0,182,0.022639,0
z_sd4.0_n50,anderson10g,1000,112.0,128.0,173,0.022493,0
z_sd4.0_n50,anderson20,1000,97.0,106.0,209,0.022702,2
z_sd4.0_n50,anderson20g,1000,95.0,103.0,118,0.021491,0
z_sd4.0_n50,anderson50,1000,76.0,97.0,225,0.024445,9
z_sd4.0_n50,anderson50g,1000,83.0,107.1,293,0.021831,0
