iter,err
1,12.711222304409953
2,0.594627410930257
3,0.29089687652669055
4,0.1366381980363548
5,0.0317396311895953
6,0.017128816484903886
7,0.0030411103431187392
8,5.7127876787721986e-5
9,1.146175898862774e-6
10,4.818776958482611e-10
11,9.88376047672057e-13
12,9.482414853327957e-13
13,1.1274869926574422e-12
14,6.383782391596688e-13
15,8.58701998396696e-13
16,7.94919685631928e-13
17,1.5787371410182188e-12
18,1.4521162050574191e-12
19,5.7998050806435e-13
20,3.663180869751375e-13
21,4.148903443025071e-13
22,4.299338662861843e-13
23,1.7624790515922808e-13
24,1.263711357778786e-12
25,2.4819035715498454e-13
26,1.0567657859900136e-12
27,8.999467837615568e-13
28,2.7877700148333793e-13
29,1.7574275368319358e-12
30,1.458666520902698e-12
31,1.5045187318196492e-12
32,4.2382763965074333e-13
33,5.389577673044274e-13
34,2.3447910280110795e-12
35,7.776557175983885e-13
36,2.7484681197582607e-12
37,2.23016050071827e-12
38,1.6368573163547598e-12
39,3.9651615324495327e-13
40,7.859823902830707e-13
41,2.798872245079628e-13
42,5.072608999511054e-13
43,9.08273456446253e-13
44,6.270539643080918e-13
45,1.8531842727060283e-12
46,9.196532424478255e-13
47,2.1260770921574007e-13
48,1.6625589793747898e-12
49,3.019251515468569e-13
50,5.143663273087027e-13
51,7.592815265408563e-13
52,1.9246271243407924e-12
53,1.0588752097356824e-12
54,1.4869216968815776e-12
55,1.2707057628339155e-12
56,4.5363712786194186e-13
57,1.741828903332891e-12
58,8.256728634140698e-13
59,6.974421040697666e-13
60,1.099287327833203e-12
61,4.632960681761852e-13
62,2.640110352558274e-13
63,2.7239321909174505e-13
64,5.16808817963144e-13
65,4.239941731042574e-13
66,1.4961365479837418e-12
67,8.337774914938401e-13
68,3.733124920301392e-13
69,1.4173662243887106e-12
70,1.621980327824807e-12
71,6.068479052602947e-13
72,6.601941215935672e-13
73,8.945066909400886e-13
74,4.992672941740575e-13
75,1.4158674233054644e-12
76,1.8279822100454874e-13
77,4.615752224878023e-13
78,2.3932522630360823e-12
79,6.722955525615376e-13
80,1.8807178037148382e-13
81,2.230104989562065e-12
82,6.492584248010023e-13
83,2.4508173268603335e-13
84,4.550804177939553e-13
85,1.9667045769741674e-12
86,2.086386619024649e-12
87,5.677680547934662e-13
88,1.03861363953678e-13
89,1.5243362128102238e-13
90,8.709144516675833e-13
91,4.048983370807126e-13
92,8.422151864802891e-13
93,6.382672168572062e-13
94,1.2431722318232464e-12
95,2.3218649225525167e-12
96,1.1641798636212614e-12
97,5.70987701564555e-13
98,5.443978601250937e-13
99,7.343015084868089e-13
100,2.578492974691594e-13
101,1.7131851493005466e-12
102,1.424638185197986e-12
103,1.4481749133200057e-12
104,2.24698037953633e-12
105,2.103761609364422e-12
106,9.33253474500342e-13
107,5.016542736770028e-13
108,4.943823128657044e-13
109,5.319633622492852e-13
110,4.854450175174675e-13
111,4.962696920073218e-13
112,4.414246745910597e-13
113,1.2355116929533423e-12
114,6.089573290070838e-13
115,5.89694959529478e-13
116,4.2943426592491836e-13
117,9.482414853318967e-13
118,1.6363022048451257e-12
119,2.360889261865674e-13
120,2.129962872743136e-13
121,5.959677196189616e-13
122,9.352518759446693e-13
123,8.393286066162661e-13
124,2.591815650987092e-13
125,6.651901252039413e-13
126,9.4757535151802e-13
127,5.475064845937461e-13
128,4.4381165409380783e-13
129,2.557398737224375e-13
130,7.123746037504779e-13
131,1.15341070028241e-12
132,1.2278511540849457e-12
133,4.206635040303833e-13
134,2.1105894809658813e-12
135,8.504308368625083e-13
136,5.61162227796628e-13
137,5.425104809829356e-13
138,6.478151348689887e-13
139,2.2537527399893217e-13
140,4.3670622673620996e-13
141,3.437805595752388e-13
142,9.900968933602245e-13
143,1.1174949854370757e-12
144,4.611866444291837e-13
145,3.301248163722358e-13
146,3.527733660747057e-13
147,3.2723823650831846e-13
148,2.4130697440224864e-13
149,5.938582958718199e-13
150,9.364176101205267e-13
151,3.910205492729037e-13
152,4.4481085481616787e-13
153,5.718203688333504e-13
154,7.002176616308411e-13
155,4.35984581770394e-13
156,3.2718272535708715e-13
157,9.275358259226569e-13
158,2.0616841567287031e-13
159,3.3301139623626027e-13
160,3.8352654385668677e-13
161,1.9134693829412743e-13
162,5.044298312385671e-13
163,6.242228955952995e-13
164,2.0388690735707903e-12
165,2.2042367930932152e-12
166,3.0841995624082093e-13
167,8.126277428740531e-13
168,4.362066263751289e-13
169,3.9251935035630114e-13
170,2.5732194153282673e-12
171,7.759903830620543e-13
172,9.420242363940016e-13
173,3.220201882924748e-13
174,1.997513265903587e-12
175,4.177214130153024e-13
176,5.244138456818302e-13
177,1.1524114995602485e-12
178,9.742762152602807e-13
179,1.2313483566125192e-12
180,1.5218382110037754e-12
181,7.940315072122272e-13
182,8.813505480982922e-13
183,9.29811783124001e-13
184,1.4532264280841546e-12
185,6.250000517129272e-13
186,5.898059818319404e-13
187,6.930012119707826e-13
188,1.0211276268995092e-12
189,1.316169395692257e-12
190,1.5027423749825097e-12
191,2.0766721675611397e-13
192,1.1210476991146234e-12
193,1.0413336859466233e-12
194,1.2514433933582596e-12
195,1.0083045509640589e-12
196,9.987566329532896e-13
197,1.594002707604298e-12
198,5.080380560683426e-13
199,2.2659651932625117e-12
200,1.5775158956911291e-12
201,7.743805596757469e-13
202,1.8312018568150566e-12
203,6.792899576166713e-13
204,3.24740234702911e-13
205,5.571099137570587e-13
206,1.0045853038325776e-12
207,4.2521541843134453e-13
208,9.121592370324446e-13
209,1.5182299861747862e-13
210,1.8146595337496538e-13
211,3.9979131116743895e-13
212,1.312283615106849e-13
213,1.1123879595225568e-12
214,7.402412016685492e-13
215,1.0995093724381282e-12
216,1.090960655147315e-12
217,4.194422587032962e-13
218,4.896083538598139e-13
219,1.1819434320152431e-12
220,5.30686605770684e-13
221,3.9962477771374523e-13
222,2.1133650385229836e-12
223,1.6589507545475162e-12
224,1.9178547638905656e-12
225,4.988787161151897e-13
226,1.8329782136563013e-13
227,8.116840533031226e-13
228,1.078637179573989e-12
229,1.4916401447362416e-12
230,6.907252547707796e-13
231,2.8397284523821933e-12
232,1.499189661303704e-12
233,8.659739592072472e-13
