design,method,draws,eighs_med,hv_med,nodes_med,builds_med,time_med,setup_med,fails,cholfail
toeplitz_rho0.5_n100,diagonal,1,5.0,15.0,NaN,0.0,0.005501,0.000000,0,0
toeplitz_rho0.5_n100,quadrature,1,5.0,15.0,1.0,4.0,0.006027,0.000434,0,0
toeplitz_rho0.5_n100,rule,1,5.0,15.0,NaN,0.0,0.005472,0.000001,0,0
toeplitz_rho0.9_n100,diagonal,1,6.0,30.0,NaN,0.0,0.007674,0.000000,0,0
toeplitz_rho0.9_n100,quadrature,1,5.0,8.0,2.0,4.0,0.005348,0.000530,0,0
toeplitz_rho0.9_n100,rule,1,6.0,30.0,NaN,0.0,0.007693,0.000008,0,0
toeplitz_rho0.99_n100,diagonal,1,6.0,29.0,NaN,0.0,0.007601,0.000000,0,0
toeplitz_rho0.99_n100,quadrature,1,6.0,20.0,2.0,5.0,0.007615,0.000811,0,0
toeplitz_rho0.99_n100,rule,1,6.0,29.0,NaN,0.0,0.007738,0.000008,0,0
toeplitz_rho0.99_n300,diagonal,1,6.0,28.0,NaN,0.0,0.108655,0.000000,0,0
toeplitz_rho0.99_n300,quadrature,1,6.0,21.0,2.0,5.0,0.107157,0.013436,0,0
toeplitz_rho0.99_n300,rule,1,6.0,21.0,2.0,5.0,0.106447,0.013024,0,0
wishart_n100,diagonal,1000,5.0,15.0,NaN,0.0,0.005646,0.000000,0,0
wishart_n100,quadrature,1000,4.0,7.0,1.0,3.0,0.004250,0.000243,0,0
wishart_n100,rule,1000,5.0,15.0,NaN,0.0,0.005589,0.000001,0,0
factor_n100,diagonal,1000,7.0,34.0,NaN,0.0,0.010986,0.000000,0,0
factor_n100,quadrature,1000,6.0,16.0,2.0,5.0,0.008908,0.000656,0,0
factor_n100,rule,1000,7.0,34.0,NaN,0.0,0.011007,0.000009,0,0
z_sd2.0_n50,diagonal,1000,10.0,68.0,NaN,0.0,0.003235,0.000000,0,0
z_sd2.0_n50,quadrature,1000,10.0,17.0,5.0,7.0,0.002691,0.000434,0,0
z_sd2.0_n50,rule,1000,10.0,68.0,NaN,0.0,0.003256,0.000023,0,0
z_sd4.0_n50,diagonal,1000,14.0,93.0,NaN,0.0,0.004281,0.000000,0,0
z_sd4.0_n50,quadrature,1000,12.0,19.0,8.0,9.0,0.003684,0.000829,0,0
z_sd4.0_n50,rule,1000,14.0,93.0,NaN,0.0,0.004313,0.000029,0,0
factor08_n200,diagonal,1000,7.0,34.0,NaN,0.0,0.054274,0.000000,0,0
factor08_n200,quadrature,1000,6.0,16.0,2.0,5.0,0.042708,0.004152,0,0
factor08_n200,rule,1000,6.0,16.0,2.0,5.0,0.042632,0.004139,0,0
factor08_n400,diagonal,200,7.0,32.0,NaN,0.0,0.324226,0.000000,0,0
factor08_n400,quadrature,200,6.0,16.0,2.0,5.0,0.248706,0.029435,0,0
factor08_n400,rule,200,6.0,16.0,2.0,5.0,0.248949,0.029402,0,0
wishart_n400,diagonal,100,4.0,7.0,NaN,0.0,0.099420,0.000000,0,0
wishart_n400,quadrature,100,4.0,7.0,1.0,3.0,0.110047,0.010147,0,0
wishart_n400,rule,100,4.0,7.0,NaN,0.0,0.099332,0.000003,0,0
toeplitz_rho0.5_n800,diagonal,1,5.0,15.0,NaN,0.0,1.059463,0.000000,0,0
toeplitz_rho0.5_n800,quadrature,1,5.0,15.0,1.0,4.0,1.160071,0.104492,0,0
toeplitz_rho0.5_n800,rule,1,5.0,15.0,NaN,0.0,1.054805,0.000009,0,0
toeplitz_rho0.9_n800,diagonal,1,6.0,31.0,NaN,0.0,1.783760,0.000000,0,0
toeplitz_rho0.9_n800,quadrature,1,5.0,8.0,2.0,4.0,0.962785,0.181805,0,0
toeplitz_rho0.9_n800,rule,1,5.0,8.0,2.0,4.0,0.962602,0.181696,0,0
toeplitz_rho0.99_n800,diagonal,1,6.0,30.0,NaN,0.0,1.747433,0.000000,0,0
toeplitz_rho0.99_n800,quadrature,1,6.0,21.0,2.0,5.0,1.641110,0.250800,0,0
toeplitz_rho0.99_n800,rule,1,6.0,21.0,2.0,5.0,1.646191,0.250738,0,0
factor_n800,diagonal,500,8.0,35.0,NaN,0.0,2.304675,0.000000,0,0
factor_n800,quadrature,500,6.0,16.0,2.0,5.0,1.576713,0.220948,0,0
factor_n800,rule,500,6.0,16.0,2.0,5.0,1.599260,0.224757,0,0
