design,method,draws,eighs_med,hv_med,nodes_med,builds_med,time_med,setup_med,fails,cholfail
toeplitz_rho0.5_n100,rule,1,5.0,15.0,NaN,0.0,0.005497,0.000001,0,0
toeplitz_rho0.9_n100,rule,1,5.0,8.0,2.0,4.0,0.005353,0.000541,0,0
toeplitz_rho0.99_n100,rule,1,6.0,20.0,2.0,5.0,0.007504,0.000661,0,0
toeplitz_rho0.99_n300,rule,1,6.0,21.0,2.0,5.0,0.107210,0.013217,0,0
wishart_n100,rule,1000,5.0,15.0,NaN,0.0,0.005647,0.000001,0,0
factor_n100,rule,1000,6.0,16.0,2.0,5.0,0.008918,0.000652,0,0
z_sd2.0_n50,rule,1000,10.0,17.0,5.0,7.0,0.002677,0.000424,0,0
z_sd4.0_n50,rule,1000,12.0,19.0,8.0,9.0,0.003669,0.000824,0,0
factor08_n200,rule,1000,6.0,16.0,2.0,5.0,0.042682,0.004136,0,0
factor08_n400,rule,200,6.0,16.0,2.0,5.0,0.249260,0.029448,0,0
wishart_n400,rule,100,4.0,7.0,NaN,0.0,0.099370,0.000003,0,0
toeplitz_rho0.5_n800,rule,1,5.0,15.0,NaN,0.0,1.057002,0.000008,0,0
toeplitz_rho0.9_n800,rule,1,5.0,8.0,2.0,4.0,0.964059,0.216840,0,0
toeplitz_rho0.99_n800,rule,1,6.0,21.0,2.0,5.0,1.645123,0.230726,0,0
