n,method,seq,eighs_per_step,hv_per_step,builds_per_step,time_per_step_ms
100,diagonal,1,3.080,26.00,NaN,6.8812
100,quadrature,1,3.060,17.88,NaN,6.6911
100,diagonal,2,3.080,25.80,NaN,6.1900
100,quadrature,2,3.060,17.72,NaN,5.7872
100,diagonal,3,3.080,25.40,NaN,6.0808
100,quadrature,3,3.060,17.74,NaN,5.7217
100,diagonal,4,3.080,26.66,NaN,6.2917
100,quadrature,4,3.060,18.12,NaN,5.7802
100,diagonal,5,3.080,25.26,NaN,6.2824
100,quadrature,5,3.060,17.42,NaN,5.8354
100,diagonal,6,3.080,26.10,NaN,6.3807
100,quadrature,6,3.060,17.86,NaN,5.8832
100,diagonal,7,3.080,25.20,NaN,6.2485
100,quadrature,7,3.060,17.54,NaN,5.8116
100,diagonal,8,3.080,25.52,NaN,6.2772
100,quadrature,8,3.060,17.82,NaN,5.8244
100,diagonal,9,3.080,26.08,NaN,7.2241
100,quadrature,9,3.060,17.86,NaN,6.3635
100,diagonal,10,3.080,26.02,NaN,6.9984
100,quadrature,10,3.060,17.92,NaN,5.9975
400,diagonal,1,3.200,30.16,NaN,258.0278
400,quadrature,1,3.240,15.72,NaN,203.2068
400,diagonal,2,3.200,30.00,NaN,257.6251
400,quadrature,2,3.120,20.80,NaN,221.6440
400,diagonal,3,3.160,29.04,NaN,250.5509
400,quadrature,3,3.120,20.80,NaN,220.5896
400,diagonal,4,3.240,30.84,NaN,261.9275
400,quadrature,4,3.200,15.88,NaN,202.1568
800,diagonal,1,3.933,39.00,NaN,2186.3925
800,quadrature,1,3.867,19.93,NaN,1582.8192
800,diagonal,2,3.733,39.60,NaN,2177.1679
800,quadrature,2,3.333,16.53,NaN,1351.1520
