design,method,draws,eighs_med,eighs_q25,eighs_q75,hv_med,time_med,time_q25,time_q75,fails,total,one_minus_lmin
toeplitz_rho0.5_n100,fp,1,15.0,15.0,15.0,0.0,0.013305,0.013305,0.013305,0,1,0.160841
toeplitz_rho0.5_n100,broyden,1,5.0,5.0,5.0,0.0,0.010325,0.010325,0.010325,0,1,0.160841
toeplitz_rho0.5_n100,newton,1,5.0,5.0,5.0,0.0,0.021420,0.021420,0.021420,0,1,0.160841
toeplitz_rho0.5_n100,fpn,1,7.0,7.0,7.0,12.0,0.008669,0.008669,0.008669,0,1,0.160841
toeplitz_rho0.9_n100,fp,1,41.0,41.0,41.0,0.0,0.036404,0.036404,0.036404,0,1,0.547845
toeplitz_rho0.9_n100,broyden,1,8.0,8.0,8.0,0.0,0.012994,0.012994,0.012994,0,1,0.547845
toeplitz_rho0.9_n100,newton,1,6.0,6.0,6.0,0.0,0.028186,0.028186,0.028186,0,1,0.547845
toeplitz_rho0.9_n100,fpn,1,8.0,8.0,8.0,19.0,0.009908,0.009908,0.009908,0,1,0.547845
toeplitz_rho0.99_n100,fp,1,89.0,89.0,89.0,0.0,0.077849,0.077849,0.077849,0,1,0.765514
toeplitz_rho0.99_n100,broyden,1,8.0,8.0,8.0,0.0,0.012962,0.012962,0.012962,0,1,0.765514
toeplitz_rho0.99_n100,newton,1,34.0,34.0,34.0,0.0,0.085039,0.085039,0.085039,0,1,0.765514
toeplitz_rho0.99_n100,fpn,1,9.0,9.0,9.0,25.0,0.011589,0.011589,0.011589,0,1,0.765514
toeplitz_rho0.5_n300,fp,1,15.0,15.0,15.0,0.0,0.139699,0.139699,0.139699,0,1,0.160862
toeplitz_rho0.5_n300,broyden,1,5.0,5.0,5.0,0.0,0.420341,0.420341,0.420341,0,1,0.160862
toeplitz_rho0.5_n300,fpn,1,7.0,7.0,7.0,12.0,0.100385,0.100385,0.100385,0,1,0.160862
toeplitz_rho0.9_n300,fp,1,41.0,41.0,41.0,0.0,0.376397,0.376397,0.376397,0,1,0.547875
toeplitz_rho0.9_n300,broyden,1,8.0,8.0,8.0,0.0,0.440649,0.440649,0.440649,0,1,0.547875
toeplitz_rho0.9_n300,fpn,1,8.0,8.0,8.0,19.0,0.123495,0.123495,0.123495,0,1,0.547875
toeplitz_rho0.99_n300,fp,1,89.0,89.0,89.0,0.0,0.820116,0.820116,0.820116,0,1,0.768925
toeplitz_rho0.99_n300,broyden,1,8.0,8.0,8.0,0.0,0.449346,0.449346,0.449346,0,1,0.768925
toeplitz_rho0.99_n300,fpn,1,9.0,9.0,9.0,26.0,0.154070,0.154070,0.154070,0,1,0.768925
wishart_n100,fp,1000,15.0,14.0,15.0,0.0,0.013488,0.013038,0.013836,0,1000,0.129787
wishart_n100,broyden,1000,6.0,6.0,6.0,0.0,0.011331,0.011180,0.011544,0,1000,0.129787
wishart_n100,newton,1000,5.0,5.0,5.0,0.0,0.021872,0.021526,0.022806,160,1000,0.129787
wishart_n100,fpn,1000,7.0,7.0,7.0,12.0,0.008343,0.008111,0.008568,0,1000,0.129787
factor_n100,fp,1000,124.0,118.0,129.0,0.0,0.151727,0.141883,0.159645,0,1000,0.793457
factor_n100,broyden,1000,16.0,16.0,16.0,0.0,0.025914,0.025000,0.026979,0,1000,0.793457
factor_n100,newton,1000,7.0,7.0,9.0,0.0,0.038223,0.037185,0.046722,63,1000,0.793457
factor_n100,fpn,1000,10.0,10.0,11.0,27.0,0.017011,0.015965,0.018080,0,1000,0.793457
z_sd2.0_n50,fp,1000,474.0,446.0,510.0,0.0,0.102785,0.096622,0.111248,0,1000,0.942192
z_sd2.0_n50,broyden,1000,38.0,35.0,42.0,0.0,0.008880,0.008219,0.009845,53,1000,0.942192
z_sd2.0_n50,newton,1000,14.0,13.0,17.0,0.0,0.007048,0.006504,0.007925,76,1000,0.942192
z_sd2.0_n50,fpn,1000,17.0,16.0,18.0,64.0,0.005113,0.004831,0.005394,0,1000,0.942192
z_sd4.0_n50,fp,1000,1008.5,936.0,1084.0,0.0,0.214554,0.198882,0.231389,0,1000,0.972352
z_sd4.0_n50,broyden,1000,52.0,49.0,56.5,0.0,0.011836,0.011257,0.012939,978,1000,0.972352
z_sd4.0_n50,newton,1000,23.0,20.0,28.0,0.0,0.009512,0.008526,0.010981,76,1000,0.972352
z_sd4.0_n50,fpn,1000,23.0,22.0,25.0,87.0,0.006854,0.006461,0.007309,0,1000,0.972352
factor_n800,fp,500,136.0,135.0,137.0,0.0,19.621954,19.200023,20.181514,0,500,NaN
factor_n800,fpn,500,11.0,11.0,12.0,28.0,3.505133,3.323003,4.303595,0,500,NaN
