seq,method,eighs_per_step,time_per_step_ms
1,fp,105.72,113.27088254000002
1,broyden,6.22,12.10574666
1,fpn,6.1,9.355029959999998
2,fp,101.32,103.6211959
2,broyden,6.22,11.824850040000001
2,fpn,6.1,9.08823256
3,fp,98.92,103.42720418
3,broyden,6.22,12.149444979999998
3,fpn,6.08,9.01494332
4,fp,99.34,101.30474832
4,broyden,6.22,11.843880859999999
4,fpn,6.08,8.97080996
5,fp,101.6,105.29292002000003
5,broyden,6.24,12.00279828
5,fpn,6.1,9.096169960000001
6,fp,98.44,94.92847258
6,broyden,6.22,11.487872459999998
6,fpn,6.12,8.690925900000002
7,fp,107.42,113.18272750000004
7,broyden,6.22,12.009319980000003
7,fpn,6.16,9.363833360000001
8,fp,107.26,114.10072004000001
8,broyden,6.22,12.084415039999996
8,fpn,6.1,9.2878692
9,fp,99.94,103.24791756000002
9,broyden,6.2,11.772440860000001
9,fpn,6.1,9.05564162
10,fp,111.92,121.41402003999998
10,broyden,6.24,12.271446679999995
10,fpn,6.1,9.428672460000001
