design,draw,method,eighs,converged
wishart_n100,1,fp,14,1
wishart_n100,1,broyden,6,1
wishart_n100,1,newton,5,1
wishart_n100,1,fpn,4,1
wishart_n100,2,fp,14,1
wishart_n100,2,broyden,6,1
wishart_n100,2,newton,5,1
wishart_n100,2,fpn,5,1
wishart_n100,3,fp,15,1
wishart_n100,3,broyden,6,1
wishart_n100,3,newton,5,1
wishart_n100,3,fpn,5,1
wishart_n100,4,fp,15,1
wishart_n100,4,broyden,6,1
wishart_n100,4,newton,5,1
wishart_n100,4,fpn,5,1
wishart_n100,5,fp,14,1
wishart_n100,5,broyden,5,1
wishart_n100,5,newton,5,1
wishart_n100,5,fpn,5,1
wishart_n100,6,fp,15,1
wishart_n100,6,broyden,6,1
wishart_n100,6,newton,5,1
wishart_n100,6,fpn,5,1
wishart_n100,7,fp,15,1
wishart_n100,7,broyden,6,1
wishart_n100,7,newton,5,1
wishart_n100,7,fpn,5,1
wishart_n100,8,fp,15,1
wishart_n100,8,broyden,6,1
wishart_n100,8,newton,5,1
wishart_n100,8,fpn,5,1
wishart_n100,9,fp,14,1
wishart_n100,9,broyden,6,1
wishart_n100,9,newton,5,1
wishart_n100,9,fpn,5,1
wishart_n100,10,fp,15,1
wishart_n100,10,broyden,6,1
wishart_n100,10,newton,5,1
wishart_n100,10,fpn,5,1
wishart_n100,11,fp,15,1
wishart_n100,11,broyden,6,1
wishart_n100,11,newton,5,1
wishart_n100,11,fpn,5,1
wishart_n100,12,fp,14,1
wishart_n100,12,broyden,5,1
wishart_n100,12,newton,5,1
wishart_n100,12,fpn,4,1
wishart_n100,13,fp,14,1
wishart_n100,13,broyden,6,1
wishart_n100,13,newton,5,1
wishart_n100,13,fpn,5,1
wishart_n100,14,fp,15,1
wishart_n100,14,broyden,6,1
wishart_n100,14,newton,5,1
wishart_n100,14,fpn,5,1
wishart_n100,15,fp,14,1
wishart_n100,15,broyden,6,1
wishart_n100,15,newton,5,1
wishart_n100,15,fpn,4,1
wishart_n100,16,fp,15,1
wishart_n100,16,broyden,6,1
wishart_n100,16,newton,5,1
